Name,Publisher,Installed On,Size (MB),Version,Install Location,Source
Microsoft.MicrosoftEdgeDevToolsClient,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19041.4239.0,C:\Windows\SystemApps\Microsoft.MicrosoftEdgeDevToolsClient_8wekyb3d8bbwe,store_apps
Microsoft.LockApp,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy,store_apps
Microsoft.CredDialogHost,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy,store_apps
Microsoft.AsyncTextService,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.AsyncTextService_8wekyb3d8bbwe,store_apps
Microsoft.AccountsControl,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy,store_apps
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy,store_apps
E2A4F912-2574-4A75-9BB0-0D023378592B,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.AppResolverUX_cw5n1h2txyewy,store_apps
c5e2524a-ea46-4f67-841f-6a9465d9d515,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.FileExplorer_cw5n1h2txyewy,store_apps
1527c705-839a-4832-9118-54d4Bd6a0c89,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4239,C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy,store_apps
Microsoft.People,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.2202.100.0,C:\Program Files\WindowsApps\Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.MicrosoftStickyNotes,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,6.1.4.0,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_6.1.4.0_x64__8wekyb3d8bbwe,store_apps
AppUp.IntelGraphicsExperience,CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3,,,1.100.5688.0,C:\Program Files\WindowsApps\AppUp.IntelGraphicsExperience_1.100.5688.0_x64__8j3eq9eme6ctt,store_apps
Microsoft.ECApp,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.4597,C:\Windows\SystemApps\Microsoft.ECApp_8wekyb3d8bbwe,store_apps
Microsoft.MSPaint,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,6.2410.13017.0,C:\Program Files\WindowsApps\Microsoft.MSPaint_6.2410.13017.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.Windows.ShellExperienceHost,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.5072,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,store_apps
Microsoft.Windows.StartMenuExperienceHost,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,10.0.19041.5438,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,store_apps
Microsoft.Windows.DevHome,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,0.2100.858.0,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe,store_apps
microsoft.windowscommunicationsapps,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,16005.14326.22342.0,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.22342.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.SkypeApp,"CN=Skype Software Sarl, O=Microsoft Corporation, L=Luxembourg, S=Luxembourg, C=LU",,,15.150.3125.0,C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.150.3125.0_x64__kzf8qxf38zg5c,store_apps
Microsoft.WindowsMaps,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,11.2506.3.0,C:\Program Files\WindowsApps\Microsoft.WindowsMaps_11.2506.3.0_x64__8wekyb3d8bbwe,store_apps
Microsoft.Office.OneNote,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,16001.14326.22594.0,C:\Program Files\WindowsApps\Microsoft.Office.OneNote_16001.14326.22594.0_x64__8wekyb3d8bbwe,store_apps
XeroxCorp.PrintExperience,CN=8D94148D-A6AB-4284-8839-E703164C4BAA,,,9.70.15.0,C:\Program Files\WindowsApps\XeroxCorp.PrintExperience_9.70.15.0_x64__f7egpvdyrs2a8,store_apps
Microsoft.BingSearch,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1.1.40.0,C:\Program Files\WindowsApps\Microsoft.BingSearch_1.1.40.0_x64__8wekyb3d8bbwe,store_apps
MicrosoftWindows.Client.CBS,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,,1000.19062.1000.0,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy,store_apps
